"Step","expert-sunset-7 - train/f1","expert-sunset-7 - train/f1__MIN","expert-sunset-7 - train/f1__MAX"
"0","0.343165144482707","0.343165144482707","0.343165144482707"
"1","0.3232027152113545","0.3232027152113545","0.3232027152113545"
"2","0.6562283728594271","0.6562283728594271","0.6562283728594271"
"3","0.7157606668434682","0.7157606668434682","0.7157606668434682"
"4","0.700400884962584","0.700400884962584","0.700400884962584"
"5","0.711392040089246","0.711392040089246","0.711392040089246"
"6","0.685962662826416","0.685962662826416","0.685962662826416"
"7","0.6926171139244215","0.6926171139244215","0.6926171139244215"
"8","0.7367639551363131","0.7367639551363131","0.7367639551363131"
"9","0.7258927469314176","0.7258927469314176","0.7258927469314176"
"10","0.7748532709288019","0.7748532709288019","0.7748532709288019"
"11","0.7863427099716667","0.7863427099716667","0.7863427099716667"
"12","0.7980436532333033","0.7980436532333033","0.7980436532333033"
"13","0.7713236432112072","0.7713236432112072","0.7713236432112072"
"14","0.679978637250496","0.679978637250496","0.679978637250496"
"15","0.6375988855885669","0.6375988855885669","0.6375988855885669"
"16","0.7173487595741176","0.7173487595741176","0.7173487595741176"