"Step","expert-sunset-7 - train/precision","expert-sunset-7 - train/precision__MIN","expert-sunset-7 - train/precision__MAX"
"0","0.2612263505812628","0.2612263505812628","0.2612263505812628"
"1","0.2387736494187372","0.2387736494187372","0.2387736494187372"
"2","0.7588614611886131","0.7588614611886131","0.7588614611886131"
"3","0.7460827041127803","0.7460827041127803","0.7460827041127803"
"4","0.731079028608163","0.731079028608163","0.731079028608163"
"5","0.7543175789869021","0.7543175789869021","0.7543175789869021"
"6","0.711691088403351","0.711691088403351","0.711691088403351"
"7","0.7090086246304819","0.7090086246304819","0.7090086246304819"
"8","0.748935975174869","0.748935975174869","0.748935975174869"
"9","0.7709779894953982","0.7709779894953982","0.7709779894953982"
"10","0.7747878880220269","0.7747878880220269","0.7747878880220269"
"11","0.7864974124284316","0.7864974124284316","0.7864974124284316"
"12","0.8148955503017044","0.8148955503017044","0.8148955503017044"
"13","0.801217322080416","0.801217322080416","0.801217322080416"
"14","0.7941753669589965","0.7941753669589965","0.7941753669589965"
"15","0.7841908184228672","0.7841908184228672","0.7841908184228672"
"16","0.7519254048049673","0.7519254048049673","0.7519254048049673"