"Step","expert-sunset-7 - train/recall","expert-sunset-7 - train/recall__MIN","expert-sunset-7 - train/recall__MAX"
"0","0.5","0.5","0.5"
"1","0.5","0.5","0.5"
"2","0.6760240037986229","0.6760240037986229","0.6760240037986229"
"3","0.7189317830619734","0.7189317830619734","0.7189317830619734"
"4","0.7043677916755177","0.7043677916755177","0.7043677916755177"
"5","0.7166102287920628","0.7166102287920628","0.7166102287920628"
"6","0.6964849200498153","0.6964849200498153","0.6964849200498153"
"7","0.6999583484320266","0.6999583484320266","0.6999583484320266"
"8","0.7369660789630426","0.7369660789630426","0.7369660789630426"
"9","0.7305122726345034","0.7305122726345034","0.7305122726345034"
"10","0.7749345029093619","0.7749345029093619","0.7749345029093619"
"11","0.7862242645374384","0.7862242645374384","0.7862242645374384"
"12","0.7973530428552983","0.7973530428552983","0.7973530428552983"
"13","0.772175815433572","0.772175815433572","0.772175815433572"
"14","0.6980461249463736","0.6980461249463736","0.6980461249463736"
"15","0.6665145343146442","0.6665145343146442","0.6665145343146442"
"16","0.721044246460658","0.721044246460658","0.721044246460658"